"","species","genus","year","height_final","density","dbh","AG_biomass_MgC","date","ABG_biomass_MgC","BG_biomass_MgC"
"903","gabonensis","Irvingia","2015",4.63881433805992,0.6606522,23.5,0.000392824192056075,2015-06-03,0.000475317272387851,8.24930803317758e-05
"904","gabonensis","Irvingia","2015",4.45098271327779,0.6606522,21.5,0.000315491990362819,2015-06-03,0.000381745308339011,6.6253317976192e-05
"905","gabonensis","Irvingia","2015",4.86194307900457,0.6606522,26,0.000503978577684677,2015-06-03,0.000609814078998459,0.000105835501313782
"906","gabonensis","Irvingia","2015",5.93948832809188,0.6606522,40,0.00145721799759896,2015-06-03,0.00176323377709475,0.000306015779495783
"907","gabonensis","Irvingia","2015",7.60043846112168,0.6606522,68,0.00538904714493845,2015-06-03,0.00652074704537553,0.00113169990043707
"908","gabonensis","Irvingia","2015",5.23631652112304,0.6606522,30.5,0.00074693202406242,2015-06-03,0.000903787749115528,0.000156855725053108
"909","gabonensis","Irvingia","2015",8.19667418185467,0.6606522,80,0.00804402027815123,2015-06-03,0.00973326453656299,0.00168924425841176
"910","gabonensis","Irvingia","2015",5.15582355225013,0.6606522,29.5,0.000688014495932636,2015-06-03,0.00083249754007849,0.000144483044145854
"911","gabonensis","Irvingia","2015",6.64935647170308,0.6606522,51,0.0026520119631525,2015-06-03,0.00320893447541453,0.000556922512262025
"912","gabonensis","Irvingia","2015",4.54601612035086,0.6606522,22.5,0.000352899886098779,2015-06-03,0.000427008862179523,7.41089760807436e-05
"913","gabonensis","Irvingia","2015",4.30388238166584,0.6606522,20,0.000263982961143701,2015-06-03,0.000319419382983878,5.54364218401771e-05
"914","gabonensis","Irvingia","2015",5.27603337795375,0.6606522,31,0.000777474999231489,2015-06-03,0.000940744749070102,0.000163269749838613
"915","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"916","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"917","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"918","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"919","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"920","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"921","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"922","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"923","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"924","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"925","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"926","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"927","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"928","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"929","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"930","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"931","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"932","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
