"","plot_code","tree_tag","dbh_year1","year1","month","day","agC_year1","year2","agC_year2","dbh_year2","AG_npp_per_tree_MgC_year","ABG_npp_per_tree_MgC_year","BG_npp_per_tree_MgC_year"
"1404","MNG-04","113",59.5,"2015","6","3",0.00387774486335586,"2013",0.00404035697467107,60.5,8.84551723249638e-05,0.000107030758513206,1.85755861882424e-05
"1405","MNG-04","114",24,"2015","6","3",0.000413746100126684,"2013",0.000435316284695424,24.5,1.1733408893577e-05,1.41974247612281e-05,2.46401586765116e-06
"1406","MNG-04","115",25.5,"2015","6","3",0.000480426382445892,"2013",0.000435316284695424,24.5,-2.45382797003288e-05,-2.96913184373979e-05,-5.15303873706906e-06
"1407","MNG-04","116",25,"2015","6","3",0.000457540987499398,"2013",0.000480426382445892,25.5,1.24488362972731e-05,1.50630919197005e-05,2.61425562242736e-06
"1408","MNG-04","117",30,"2015","6","3",0.000717113704633906,"2013",0.000688014495932636,29.5,-1.58289287272185e-05,-1.91530037599344e-05,-3.32407503271589e-06
"1409","MNG-04","118",20,"2015","6","3",0.000263982961143701,"2013",0.000280547890270701,20.5,9.01072895880048e-06,1.09029820401486e-05,1.8922530813481e-06
"1410","MNG-04","119",33.5,"2015","6","3",0.000941250460539896,"2013",0.000976255183100869,34,1.90413170413637e-05,2.30399936200501e-05,3.99867657868638e-06
"1411","MNG-04","120",33,"2015","6","3",0.000907002686487076,"2013",0.000907002686487076,33,0,0,0
"1412","MNG-04","121",56.5,"2015","6","3",0.00341350917996675,"2013",0.00326652646620545,55.5,-7.99533390802896e-05,-9.67435402871504e-05,-1.67902012068608e-05
"1413","MNG-04","122",31.5,"2015","6","3",0.000808748126701487,"2013",0.000777474999231489,31,-1.70114627817425e-05,-2.05838699659084e-05,-3.57240718416592e-06
"1414","MNG-04","123",31,"2015","6","3",0.000777474999231489,"2013",0.00074693202406242,30.5,-1.66142860457683e-05,-2.01032861153796e-05,-3.48900006961134e-06
"1415","MNG-04","124",32,"2015","6","3",0.000840756855774752,"2013",0.000840756855774752,32,0,0,0
"1416","MNG-04","125",20,"2015","6","3",0.000263982961143701,"2013",0.000333884645345585,22,3.80240159965538e-05,4.60090593558301e-05,7.9850433592763e-06
"1417","MNG-04","126",30,"2015","6","3",0.000717113704633906,"2013",0.000578696100992465,27.5,-7.52942255277588e-05,-9.11060128885882e-05,-1.58117873608294e-05
"1418","MNG-04","127",22.5,"2015","6","3",0.000352899886098779,"2013",0.000392824192056075,23.5,2.17173944477096e-05,2.62780472817287e-05,4.56065283401902e-06
"1419","MNG-04","128",84.5,"2015","6","3",0.00920557660444043,"2013",0.00804402027815123,80,-0.000631845095522444,-0.000764532565582157,-0.000132687470059713
"1420","MNG-04","129",21,"2015","6","3",0.00029771530501578,"2013",0.000352899886098779,22.5,3.00184382940307e-05,3.63223103357772e-05,6.30387204174645e-06
"1421","MNG-04","532",52,"2015","6","3",0.00278202294051342,NA,NA,NA,NA,NA,NA
"1422","MNG-04","130",43.5,"2015","6","3",0.00179189161576981,"2013",0.00200183351104035,45.5,0.000114200881928089,0.000138183067132988,2.39821852048987e-05
