plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,12,10,12,N,NA,NA,NA,10,20,2,10,0.006,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,ABC-01_2013_12_10_12_N
ABC-01,2013,12,10,12,N,NA,NA,NA,10,20,3,10,0.002,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,ABC-01_2013_12_10_12_N
ABC-01,2013,12,10,12,N,NA,NA,NA,10,20,4,10,0.001,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,ABC-01_2013_12_10_12_N
ABC-01,2013,12,10,13,N,5.5,36.3,8.3,20,10,1,10,0.012,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,NA,NA,ABC-01_2013_12_10_13_N
ABC-01,2013,12,10,13,N,NA,NA,NA,20,10,2,10,0.008,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2013_12_10_13_N
ABC-01,2013,12,10,13,N,NA,NA,NA,20,10,3,10,0.001,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,ABC-01_2013_12_10_13_N
ABC-01,2013,12,10,13,N,NA,NA,NA,20,10,4,10,0.001,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,NA,NA,ABC-01_2013_12_10_13_N
ABC-01,2013,12,10,14,N,3.12,41.2,8.3,20,10,1,10,0.058,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,ABC-01_2013_12_10_14_N
ABC-01,2013,12,10,14,N,NA,NA,NA,20,10,2,10,0.06,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,ABC-01_2013_12_10_14_N
ABC-01,2013,12,10,14,N,NA,NA,NA,20,10,3,10,0.068,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,ABC-01_2013_12_10_14_N
ABC-01,2013,12,10,14,N,NA,NA,NA,20,10,4,10,0.018,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA,ABC-01_2013_12_10_14_N
ABC-01,2013,12,10,15,N,4.66,32.5,8.3,20,10,1,10,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,NA,NA,ABC-01_2013_12_10_15_N
