plot_code,sub_plot,tree_tag,year,month,day,wood_density_g_m2,tree_height_year,tree_height_m,pom_height_m,baseline_dbh_year,baseline_dbh_mm,dbh_nodirection_mm,dbh_northsouth_mm,dbh_westeast_mm,dendrometer_reading_replaced_mm,status_code_intact_moved_broken,mortality_code_alive_dead,quality_code,comments,date,dendrometer_reading_mm,family,genus,species
ABC-01,1,29,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,1,29,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,1,29,2014,3,6,NA,NA,NA,1.4,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.9,NA,NA,NA
ABC-01,8,300,2013,9,24,NA,NA,NA,1.4,NA,NA,-0.12,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-0.12,NA,NA,NA
ABC-01,8,300,2013,12,10,NA,NA,NA,1.4,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.8,NA,NA,NA
ABC-01,8,300,2014,3,6,NA,NA,NA,1.4,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,06/03/2014,3.5,NA,NA,NA
ABC-01,8,301,2013,9,24,NA,NA,NA,1.4,NA,NA,-0.32,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-0.32,NA,NA,NA
ABC-01,8,301,2013,12,10,NA,NA,NA,1.4,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-1,NA,NA,NA
ABC-01,8,301,2014,3,6,NA,NA,NA,1.4,NA,NA,-0.65,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-0.65,NA,NA,NA
ABC-01,8,302,2013,9,24,NA,NA,NA,1.4,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.52,NA,NA,NA
ABC-01,8,302,2013,12,10,NA,NA,NA,1.4,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,10/12/2013,3.6,NA,NA,NA
ABC-01,8,302,2014,3,6,NA,NA,NA,1.4,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,06/03/2014,4.8,NA,NA,NA
ABC-01,8,305,2013,9,24,NA,NA,NA,1.4,NA,NA,-2.68,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-2.68,NA,NA,NA
ABC-01,8,305,2013,12,10,NA,NA,NA,1.4,NA,NA,-3.2,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-3.2,NA,NA,NA
ABC-01,8,305,2014,3,6,NA,NA,NA,1.4,NA,NA,-2.56,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-2.56,NA,NA,NA
ABC-01,8,306,2013,9,24,NA,NA,NA,1.4,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.54,NA,NA,NA
