"Stem tag grouping","tree_tag","T1","T2","X","Y","Family","original identification","Species","Tree Notes","dbh","POM","Extra D","Extra POM","Flag1","Flag2","Flag3","Flag4","LI","CI","CF","CD1","CD2","height_m","Flag5","Height Broken At","Census Notes","voucher code","voucher collected","census_date","plot_code","year","month","day"
NA,443,"7","",8,5,"Dipterocarpaceae",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,445,"7","",5,3,"Euphorbiaceae",NA,"Macaranga hypoleuca",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,446,"7","",NA,NA,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,447,"7","",NA,NA,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,448,"8","",20,20,"Urticaceae",NA,"Dendrocnide elliptica",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,449,"8","",19,19,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,450,"8","",16,19,"Sapindaceae",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,451,"8","",11,11,"Dipterocarpaceae",NA,"Shorea ovata",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,452,"8","",NA,NA,"Indet",NA,"Indet indet",NA,NA,2000,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,453,"8","",16,10,"Celastraceae",NA,"Lophopetalum javanicum",NA,NA,2500,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
