"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","npp_g_m2","stock_MgC_ha"
"106","ABC-01",2018,12,"4","open","D1","grass",23.32,"","Y",15,0.25,2018-12-15,93.28,0.4664
"107","ABC-01",2018,12,"4","open","D2","grass",51.6,"","Y",15,0.25,2018-12-15,206.4,1.032
"108","ABC-01",2018,12,"4","open","D3","grass",18.54,"","Y",15,0.25,2018-12-15,74.16,0.3708
"109","ABC-01",2018,12,"4","open","D4","grass",21.43,"","Y",15,0.25,2018-12-15,85.72,0.4286
"110","ABC-01",2018,12,"4","open","D5","grass",20.44,"","Y",15,0.25,2018-12-15,81.76,0.4088
"111","ABC-01",2018,12,"4","caged","E1","grass",35,"","Y",15,0.25,2018-12-15,140,0.7
"112","ABC-01",2018,12,"4","caged","E2","grass",34.64,"","Y",15,0.25,2018-12-15,138.56,0.6928
"113","ABC-01",2018,12,"4","caged","E3","grass",49.56,"","Y",15,0.25,2018-12-15,198.24,0.9912
"114","ABC-01",2018,12,"4","caged","E4","grass",28.35,"","Y",15,0.25,2018-12-15,113.4,0.567
"115","ABC-01",2018,12,"4","caged","E5","grass",38.18,"","Y",15,0.25,2018-12-15,152.72,0.7636
"116","ABC-01",2018,12,"4","open","F1","grass",88.61,"","Y",15,0.25,2018-12-15,354.44,1.7722
"117","ABC-01",2018,12,"4","open","F2","grass",31.32,"","Y",15,0.25,2018-12-15,125.28,0.6264
"118","ABC-01",2018,12,"4","open","F3","grass",24.06,"","Y",15,0.25,2018-12-15,96.24,0.4812
"119","ABC-01",2018,12,"4","open","F4","grass",15.65,"","Y",15,0.25,2018-12-15,62.6,0.313
"120","ABC-01",2018,12,"4","open","F5","grass",19.63,"","Y",15,0.25,2018-12-15,78.52,0.3926
